Age,Weight,Height,Muscle_Mass,Fitness_Level,Disabilities,BMI,Fitness_Goal,Training_Intensity
47,69.7,195.7,34.3,low,No,18.2,Muscle Gain,Low
46,55,170.6,43.9,moderate,Yes,18.89,Muscle Gain,Moderate
24,69.7,170.1,37.7,high,No,24.09,Weight Loss,High
31,65.7,169.8,38.7,high,No,22.79,Weight Loss,High
38,74.8,172,39.6,low,No,25.3,Muscle Gain,Moderate
46,57.6,168.6,38.6,high,No,20.27,Weight Loss,Moderate
29,77.8,164.3,40.1,low,No,28.83,Muscle Gain,High
32,93,164.5,45.6,low,No,34.35,Weight Loss,Moderate
21,68.4,169.7,36.6,moderate,No,23.75,Weight Loss,Moderate
20,76,164.6,40.7,moderate,No,28.07,Weight Loss,High
44,80.4,162.9,34.3,low,No,30.29,Muscle Gain,Moderate
51,64,171.1,46.5,moderate,No,21.86,Weight Loss,High
34,73.4,167.5,29.6,moderate,No,26.16,Weight Loss,Moderate
47,70.2,185,49.4,moderate,No,20.5,Muscle Gain,High
39,71.5,150,34.7,moderate,No,31.76,Weight Loss,Low
27,58.4,180.9,23.6,moderate,No,17.84,Muscle Gain,Moderate
39,70.4,182.5,36,high,No,21.14,Weight Loss,High
53,77.5,150,29.6,moderate,No,34.43,Muscle Gain,Low
34,91.8,166.6,41.7,low,No,33.07,Weight Loss,Moderate
53,84.4,166.3,29.8,low,Yes,30.52,Muscle Gain,Low
18,102.3,155.9,31.4,low,No,42.08,Muscle Gain,Moderate
44,58.5,162.2,20,moderate,No,22.23,Muscle Gain,High
36,83.1,158.9,31.4,low,No,32.91,Muscle Gain,Low
31,72.8,187.5,20,moderate,Yes,20.69,Muscle Gain,Moderate
36,102.8,179.4,22.3,low,No,31.97,Muscle Gain,Low
18,57.9,182.7,41.1,high,No,17.34,Muscle Gain,High
32,57.4,177.2,41.3,high,No,18.28,Muscle Gain,High
39,61,158.7,38.4,high,Yes,24.22,Muscle Gain,High
52,45,164.8,27.3,moderate,No,16.58,Weight Loss,Low
28,62.1,174.9,34.6,moderate,No,20.31,Muscle Gain,High
25,58.6,157.8,35,moderate,No,23.54,Weight Loss,High
28,72.3,177.1,25.7,moderate,No,23.03,Weight Loss,Moderate
45,75.1,167.6,47,high,No,26.75,Weight Loss,Moderate
38,98.1,166.3,42,low,No,35.51,Muscle Gain,Low
28,84.3,177.1,33.2,moderate,No,26.86,Weight Loss,Moderate
41,61.3,174.4,35.2,low,No,20.16,Muscle Gain,Moderate
36,56.5,166.4,36.7,moderate,No,20.42,Muscle Gain,Moderate
46,77.4,181.6,20,moderate,Yes,23.47,Muscle Gain,Moderate
26,50.2,159.2,33,moderate,Yes,19.81,Weight Loss,Moderate
31,97.5,176.2,29.5,moderate,No,31.41,Muscle Gain,Low
30,87.7,175.9,27,moderate,No,28.33,Muscle Gain,Moderate
18,63,166.9,32.8,moderate,No,22.6,Weight Loss,High
38,45,173.3,49.4,high,No,14.99,Weight Loss,Moderate
38,90.3,157.5,40.1,moderate,No,36.41,Muscle Gain,Moderate
35,68.3,179.2,30.4,low,No,21.25,Muscle Gain,High
32,88.6,168.2,39.6,moderate,No,31.32,Weight Loss,Low
18,46.1,164.8,46.2,moderate,No,16.97,Muscle Gain,Moderate
29,61,180.5,42.4,moderate,No,18.73,Muscle Gain,High
30,70.1,163,35.5,low,Yes,26.39,Muscle Gain,Moderate
25,70.7,155.9,29.8,moderate,No,29.09,Weight Loss,Moderate
33,63.2,154.4,40.6,low,No,26.52,Weight Loss,Moderate
39,79.3,176.1,38.1,moderate,No,25.6,Weight Loss,Moderate
57,54,157.2,42.2,low,No,21.85,Weight Loss,Moderate
37,67.9,187.5,40.1,moderate,No,19.29,Muscle Gain,High
38,71.8,150,43.4,low,No,31.91,Muscle Gain,Moderate
34,77.7,187,30.7,moderate,No,22.23,Muscle Gain,High
18,80.7,172.1,45.5,moderate,No,27.23,Muscle Gain,High
34,53.1,169,36.6,high,No,18.6,Muscle Gain,High
35,47,164.6,51.6,high,Yes,17.35,Weight Loss,Low
64,89.2,174,29.5,moderate,No,29.45,Weight Loss,Low
32,75,169.6,48.9,high,No,26.06,Weight Loss,High
38,58.8,181,36.6,high,No,17.93,Muscle Gain,Moderate
34,93.3,171.1,29.8,moderate,No,31.84,Weight Loss,Low
20,71.7,171.5,31.1,high,No,24.39,Weight Loss,High
48,87.7,166.4,32.4,low,No,31.68,Muscle Gain,Low
44,71,169.4,38.4,high,No,24.74,Weight Loss,High
44,100.9,173.1,39.2,low,No,33.69,Muscle Gain,Moderate
24,96.3,152.9,30.4,moderate,Yes,41.21,Muscle Gain,Moderate
51,66.3,156.5,34.8,moderate,Yes,27.05,Muscle Gain,Moderate
18,84.6,177.4,52.1,high,No,26.86,Muscle Gain,High
42,79.7,171.7,48.8,high,No,27.03,Muscle Gain,High
61,90.5,168.2,38.5,moderate,No,32.01,Weight Loss,Low
23,55.5,170.2,35.3,moderate,No,19.17,Weight Loss,High
28,80.3,173.5,36,moderate,No,26.68,Weight Loss,Moderate
36,85.9,164.6,39.9,low,No,31.7,Weight Loss,Low
28,45,162.2,26.8,moderate,No,17.1,Muscle Gain,Moderate
18,52.3,172,32.9,low,No,17.67,Weight Loss,Low
35,45,160.2,21.7,moderate,No,17.53,Muscle Gain,Low
22,66,174.1,38.2,high,No,21.77,Muscle Gain,High
40,80.8,153,40.2,moderate,No,34.51,Muscle Gain,Moderate
23,92.5,180.3,31.1,moderate,No,28.47,Muscle Gain,High
53,71.1,174.7,47.6,high,No,23.29,Muscle Gain,High
25,94.4,172.6,25.2,low,No,31.71,Muscle Gain,Low
31,49.3,179.8,23.3,moderate,Yes,15.24,Muscle Gain,Low
44,45,186.7,36.8,high,No,12.92,Weight Loss,Low
20,69.2,180.1,43.4,high,No,21.31,Muscle Gain,High
37,75.8,151.6,48.5,moderate,No,32.97,Muscle Gain,Moderate
50,69.5,157.2,31.3,moderate,No,28.13,Muscle Gain,Moderate
18,45,163.8,43.6,high,No,16.78,Weight Loss,Moderate
37,68.7,170.3,34.7,moderate,No,23.69,Muscle Gain,High
38,50.4,175.2,33.6,moderate,No,16.43,Muscle Gain,Moderate
44,80,162.7,42.1,low,No,30.22,Muscle Gain,Low
20,75.5,171.9,40.2,moderate,No,25.56,Muscle Gain,High
19,55.9,162.4,22.4,low,No,21.18,Muscle Gain,Moderate
41,62.3,163.9,46.8,low,No,23.19,Muscle Gain,High
38,54.1,155.9,46,high,Yes,22.25,Muscle Gain,High
38,69.1,160.8,30,high,Yes,26.72,Muscle Gain,Moderate
39,84.3,156.5,38.2,low,No,34.44,Muscle Gain,Low
26,55.2,160.2,39,moderate,No,21.5,Weight Loss,High
37,77.6,180.5,37.1,high,No,23.8,Muscle Gain,High
38,62,160.5,30.6,moderate,No,24.08,Muscle Gain,High
26,58.1,196.3,29.6,moderate,Yes,15.08,Muscle Gain,Low
57,68.4,174.9,34.8,moderate,Yes,22.35,Weight Loss,Low
40,54.5,171.8,44.4,low,No,18.44,Muscle Gain,Low
20,61.7,161.4,39.3,high,No,23.68,Muscle Gain,High
42,52,177,32,low,No,16.61,Weight Loss,Low
23,99.5,164.2,41.2,moderate,Yes,36.87,Muscle Gain,Low
44,70.5,171.2,20,moderate,No,24.06,Muscle Gain,High
48,59.5,195.6,44.2,low,Yes,15.55,Muscle Gain,Low
25,73.2,169,21.1,low,Yes,25.62,Weight Loss,Low
46,68.3,181.5,32.1,moderate,No,20.74,Muscle Gain,Moderate
39,66.7,163,26,moderate,No,25.11,Weight Loss,Low
44,79.2,169.7,24.6,low,No,27.52,Weight Loss,Moderate
57,81.4,187.7,44.3,high,No,23.09,Muscle Gain,High
32,62,163.7,31.3,low,No,23.14,Muscle Gain,Moderate
25,61.4,188.1,37.8,high,No,17.34,Muscle Gain,Moderate
24,65.9,177.1,34.6,high,Yes,21.01,Muscle Gain,High
25,45,164.4,38.8,high,No,16.65,Muscle Gain,Moderate
34,47.3,176.3,35.6,high,No,15.2,Weight Loss,Moderate
39,90.5,179.7,24.7,low,No,28.02,Weight Loss,Low
38,94.7,176.2,43,low,No,30.49,Weight Loss,Moderate
44,66.3,154.3,31,low,Yes,27.83,Muscle Gain,Moderate
35,78.6,162.7,22.5,moderate,No,29.7,Weight Loss,Moderate
52,74.7,167.5,31.6,low,Yes,26.61,Weight Loss,Low
31,116.2,169.3,47,low,No,40.56,Weight Loss,Moderate
65,86.8,176.2,41.8,high,No,27.95,Muscle Gain,High
42,68.1,171.8,32.2,high,No,23.07,Weight Loss,High
24,55.7,156.6,32.2,moderate,No,22.69,Muscle Gain,High
22,45.9,173.8,32.4,moderate,Yes,15.2,Muscle Gain,Moderate
40,73.1,176.1,51.6,moderate,No,23.56,Muscle Gain,High
32,58.7,175.6,38.1,high,No,19.02,Weight Loss,High
43,48.7,180.8,38.4,moderate,No,14.89,Weight Loss,Low
40,60.3,178.3,43.2,low,No,18.96,Muscle Gain,High
34,53.8,174.6,36.9,moderate,No,17.64,Muscle Gain,Low
24,95.3,169.3,32.9,low,No,33.25,Muscle Gain,Moderate
18,83.2,153.4,33.4,low,Yes,35.37,Muscle Gain,Low
29,69.9,174.3,34.4,moderate,No,23,Muscle Gain,High
45,92.2,172.1,34.7,low,No,31.14,Muscle Gain,Low
37,71.2,172.7,40.8,moderate,No,23.85,Weight Loss,High
20,57.1,157.2,35.4,moderate,No,23.09,Muscle Gain,High
37,92.8,159.2,40.9,moderate,No,36.64,Muscle Gain,Moderate
39,78.1,180.5,34.4,low,No,23.96,Muscle Gain,Moderate
24,54.4,169.6,35.6,high,No,18.93,Weight Loss,High
36,67.1,176.8,20,low,No,21.48,Weight Loss,Low
35,56.9,170.3,42.3,high,Yes,19.61,Weight Loss,High
21,49.3,170.3,37.8,high,No,16.98,Muscle Gain,Moderate
39,83.9,179.4,43,moderate,No,26.07,Muscle Gain,Moderate
41,98.6,164.8,20,low,Yes,36.3,Muscle Gain,Low
47,49,171,51.7,moderate,No,16.77,Weight Loss,Moderate
47,78.4,165.4,33.9,low,No,28.68,Weight Loss,Low
18,60.2,165.7,43.9,high,No,21.95,Weight Loss,High
23,62.7,166.9,26.7,low,No,22.5,Weight Loss,Moderate
41,61.1,172.2,39.9,high,No,20.6,Weight Loss,High
41,57,165.2,26.6,high,No,20.9,Muscle Gain,High
41,70.7,182.6,30,high,No,21.22,Weight Loss,High
65,57.5,161.1,50.3,moderate,No,22.18,Muscle Gain,High
41,74.1,168.1,33.5,low,No,26.2,Muscle Gain,Moderate
48,69.2,165.6,36.7,moderate,No,25.25,Muscle Gain,Moderate
46,66.4,184.5,42,moderate,Yes,19.52,Muscle Gain,Moderate
42,56.4,172,39,high,No,19.07,Muscle Gain,High
31,61.3,180.3,36.2,high,No,18.87,Muscle Gain,High
44,81.3,155.1,37.9,low,No,33.79,Muscle Gain,Moderate
25,77.5,172.7,54.2,low,Yes,26,Muscle Gain,Moderate
32,55.3,178.9,34.5,moderate,No,17.29,Muscle Gain,Moderate
29,71.5,170.8,36.6,moderate,No,24.5,Muscle Gain,High
35,81.3,180.7,43.4,high,No,24.9,Muscle Gain,High
62,45,164.8,43.8,moderate,Yes,16.56,Muscle Gain,Low
18,78.2,184.1,44.5,high,No,23.06,Weight Loss,High
43,60.1,193,40.1,moderate,No,16.13,Weight Loss,Moderate
18,78.6,166.4,25.9,moderate,No,28.38,Weight Loss,Moderate
29,58.6,165.5,48.1,moderate,No,21.37,Weight Loss,High
48,45,184.5,25.8,high,No,13.21,Muscle Gain,Low
35,45.6,185.8,37.4,moderate,No,13.21,Weight Loss,Low
22,70.7,164.8,29,moderate,No,26.05,Muscle Gain,Moderate
26,73.9,165.8,34.5,moderate,No,26.88,Muscle Gain,High
43,56.4,167.2,37.6,moderate,No,20.19,Weight Loss,High
26,79.6,156.6,37.6,low,No,32.47,Muscle Gain,Moderate
37,45.1,160.8,38.4,moderate,No,17.43,Weight Loss,Low
35,69,160,47.9,low,Yes,26.97,Weight Loss,Low
27,51.8,162.3,38.6,moderate,Yes,19.67,Weight Loss,Moderate
60,60.2,169.7,33,moderate,No,20.92,Weight Loss,Moderate
42,70.7,172.3,42.7,moderate,No,23.81,Muscle Gain,High
18,57.1,185.5,44.5,high,No,16.59,Muscle Gain,Moderate
37,64.2,160,25.2,high,No,25.09,Muscle Gain,Moderate
27,85.1,179.8,39.8,moderate,No,26.31,Muscle Gain,Moderate
45,61.3,167.9,40.6,moderate,No,21.77,Weight Loss,Moderate
25,82.5,169.5,32.6,low,No,28.73,Weight Loss,Moderate
33,53.1,176.7,46,high,No,16.98,Weight Loss,Moderate
41,77.9,158.8,33.8,low,No,30.92,Muscle Gain,Low
45,91.6,173.8,36,moderate,No,30.32,Muscle Gain,Low
20,45,171.7,33.6,moderate,Yes,15.27,Muscle Gain,Moderate
30,58,174.9,35.1,high,No,18.97,Muscle Gain,High
29,78.7,172.9,26.2,low,No,26.31,Weight Loss,Low
27,67,194.6,23.5,low,No,17.69,Muscle Gain,Low
56,75.6,163.6,47.8,moderate,No,28.23,Muscle Gain,Moderate
39,60.9,164.7,28.2,low,No,22.47,Muscle Gain,Moderate
19,71.3,163.8,27.1,low,No,26.58,Weight Loss,Low
46,67.7,164.4,20,low,No,25.02,Weight Loss,Low
60,87.5,163.6,29.9,moderate,No,32.69,Muscle Gain,Low
47,73.8,181.9,24.4,moderate,No,22.31,Muscle Gain,Moderate
18,75.1,184.2,48.1,high,No,22.12,Muscle Gain,High
29,63.8,164.3,43.1,high,No,23.64,Muscle Gain,High
50,62.7,161.7,29.5,moderate,No,23.98,Weight Loss,Low
26,63.5,174.7,53,moderate,No,20.81,Weight Loss,High
40,75.9,164.5,42.9,moderate,No,28.06,Muscle Gain,High
44,63.7,176.3,32.4,low,No,20.48,Muscle Gain,Moderate
23,74.3,172,20,low,No,25.12,Weight Loss,Moderate
34,101.1,154.8,53.3,low,No,42.18,Muscle Gain,Moderate
18,83.1,185.5,23.9,moderate,No,24.15,Weight Loss,Moderate
22,65.1,188,21.8,moderate,Yes,18.43,Muscle Gain,Low
31,88,163.9,43.2,low,No,32.78,Muscle Gain,Low
20,63.9,166.1,54.5,high,No,23.15,Muscle Gain,High
54,45,172.9,46.1,low,No,15.06,Muscle Gain,Moderate
18,54.9,173.3,39.5,moderate,Yes,18.26,Weight Loss,Low
29,45,176.6,39.8,high,No,14.43,Muscle Gain,Moderate
36,64.7,190.1,41.8,moderate,No,17.91,Muscle Gain,Moderate
52,70.3,168.2,41.1,moderate,Yes,24.83,Muscle Gain,Moderate
18,95.1,162,37.2,low,No,36.25,Muscle Gain,Moderate
48,74.9,156.2,35.8,low,No,30.7,Muscle Gain,Low
35,66.7,162.7,34.5,low,No,25.21,Muscle Gain,Moderate
23,82.4,169.7,29,moderate,No,28.64,Weight Loss,Moderate
40,45,187.9,32.8,moderate,No,12.74,Muscle Gain,Low
37,73.5,164.8,21.5,moderate,No,27.07,Muscle Gain,Moderate
27,81.6,172.2,34.2,moderate,No,27.49,Weight Loss,Moderate
35,47.8,169.8,27.1,low,No,16.58,Muscle Gain,Low
30,87.2,181.9,26.2,high,No,26.35,Weight Loss,Moderate
36,75.1,195.3,36.4,moderate,No,19.69,Muscle Gain,Moderate
42,63.8,164.7,46.1,low,No,23.51,Weight Loss,Moderate
54,79.5,165.1,42.3,high,Yes,29.16,Weight Loss,Moderate
20,104.1,180.4,22.4,moderate,Yes,31.96,Weight Loss,Low
60,72.7,176.8,27.1,moderate,No,23.26,Weight Loss,Low
18,73.7,188.5,42.5,moderate,No,20.76,Muscle Gain,High
33,63.1,175.8,27.1,high,No,20.41,Weight Loss,High
42,57.3,166.4,33.2,moderate,No,20.68,Muscle Gain,Moderate
38,82.5,175.9,39.4,low,Yes,26.65,Muscle Gain,Moderate
27,57.2,181.1,27.3,moderate,No,17.43,Muscle Gain,Low
32,71.1,178.2,35.8,moderate,No,22.38,Muscle Gain,High
29,62.8,175.1,24.3,low,No,20.5,Muscle Gain,Moderate
27,77.2,180.7,30.2,moderate,No,23.65,Muscle Gain,High
45,75,181.7,37.6,moderate,No,22.72,Muscle Gain,High
39,85.6,183.8,22.3,low,No,25.32,Weight Loss,Moderate
26,62.3,176.5,38.5,high,No,20.02,Weight Loss,High
45,66,168.3,34.8,high,No,23.28,Muscle Gain,High
38,55.3,171.5,39.4,high,No,18.82,Muscle Gain,High
44,63.3,182.1,36.8,low,No,19.11,Muscle Gain,Moderate
42,75.7,161.8,45.9,low,No,28.89,Muscle Gain,Moderate
